name,city,postalCode,address,url,longitude,latitude
Arena Syd,Vamdrup,6580,Idrætsvej 3,https://www.ticketmaster.dk/venue/arena-syd-vamdrup-billetter/asy/203,9.27829,55.43152
"Aarhus Teater, Store Scene",Aarhus C,8000,Teatergaden,https://www.ticketmaster.dk/venue/aarhus-teater-store-scene-aarhus-c-billetter/ast/225,9.556,56.102
ASA,Aarhus C,8000,F. Vestergaardsgade 3,https://www.ticketmaster.dk/venue/asa-aarhus-c-billetter/asv/203,10.1103,56.09408
Assistens Kirkegård,København N,2200,Kapelvej 4,https://www.ticketmaster.dk/venue/assistens-kirkegard-kobenhavn-n-billetter/ass/203,12.5523,55.68962
Asnæs Forsamlingshus,Asnæs,4550,Esterhøjvej 26,https://www.ticketmaster.dk/venue/asnaes-forsamlingshus-asnaes-billetter/asn/203,11.49856,55.81629
Astrologihuset,København N,2200,Nørrebrogade 66 D,https://www.ticketmaster.dk/venue/astrologihuset-kobenhavn-n-billetter/asr/203,12.55484,55.69135
Asminderød Kro,Fredensborg,3480,Asminderødgade 53,https://www.ticketmaster.dk/venue/asminderod-kro-fredensborg-billetter/asm/203,12.40787,55.96898
Ansgars Kirke,Odense C,5000,Sdr. Boulevard 1,https://www.ticketmaster.dk/venue/ansgars-kirke-odense-c-billetter/ans/203,10.37858,55.39148
Antvorskovhallen,Slagelse,4200,Sejerøvej 1,https://www.ticketmaster.dk/venue/spar-nord-arena-slagelse-billetter/ant/203,11.35637,55.39291
?,København V,1610,,https://www.ticketmaster.dk/venue/--kobenhavn-v-billetter/ann/207,12.55316,55.67256
Apostolsk Kirke,Kolding,6000,Lykkegaardsvej 67,https://www.ticketmaster.dk/venue/apostolsk-kirke-kolding-billetter/apo/203,9.451,55.48046
LevLykkeligt Live,København Ø,2100,"Blegdamsvej 32, 1. sal",https://www.ticketmaster.dk/venue/levlykkeligt-live-kobenhavn--billetter/aol/203,12.56528,55.69285
Arbejdermuseet,København K,1362,Rømersgade 22,https://www.ticketmaster.dk/venue/arbejdermuseet-kobenhavn-k-billetter/arb/203,12.57011,55.68487
Vestereng,Aarhus C,8000,Vestereng,https://www.ticketmaster.dk/venue/vestereng-aarhus-c-billetter/arv/203,9.556,56.102
