"","name","city","postalCode","address","url","longitude","latitude"
"6228","Nikolaikirche","Jüterbog",14913,"OT Kloster Zinna, Mittelstraße","https://www.ticketmaster.de/venue/nikolaikirche-juterbog-tickets/jutnikolai/701",13.1068,52.0221
"6229","Pogo Belzig","Bad Belzig",14806,"Berliner Straße 4","https://www.ticketmaster.de/venue/pogo-belzig-bad-belzig-tickets/belpogobel/701",12.58966,52.13832
"6230","Schloss Charlottenburg (Schlossk","Berlin",14059,NA,"https://www.ticketmaster.de/venue/schloss-charlottenburg-schlossk-berlin-tickets/bercharlsc/701",13.2897,52.52121
"6231","Messe","Berlin",14055,"Messedamm 22","https://www.ticketmaster.de/venue/messe-berlin-tickets/bermesse/701",13.27417,52.50122
"6232","Festivalgelände (Gewerbepark)","Schwielowsee",14548,"Michendorfer Chaussee","https://www.ticketmaster.de/venue/festivalgelande-gewerbepark--schwielowsee-tickets/capfestiva/701",13.00583,52.34612
"6233","Ohnsorg Theater","Hamburg",20099,"Heidi-Kabel-Platz 1 (Bieberhaus)","https://www.ticketmaster.de/venue/ohnsorg-theater-hamburg-tickets/hamohnsorg/701",9.98908,53.55271
"6234","Uni HH - Hauptgeb./Hörsaal B","Hamburg",20148,"Edmund-Siemers-Allee 1","https://www.ticketmaster.de/venue/uni-hh-hauptgeb-horsaal-b-hamburg-tickets/hamunihoer/701",9.98803,53.5628
"6235","Theater am Rudolf Steiner Haus","Hamburg",20148,"Mittelweg 11-12","https://www.ticketmaster.de/venue/theater-am-rudolf-steiner-haus-hamburg-tickets/hamtherud/701",9.68672,53.59639
"6236","Schauspielhaus (Kantine)","Hamburg",20099,"Kirchenallee 39","https://www.ticketmaster.de/venue/schauspielhaus-kantine--hamburg-tickets/hamschauka/701",10.00847,53.55439
"6237","Zirkuszelt","Hamburg",20144,"gegenüber Beim Schlump 52","https://www.ticketmaster.de/venue/zirkuszelt-hamburg-tickets/hamzirkusz/701",9.97237,53.56863
"6238","Thalia im Zelt (Seelemannpark)","Hamburg",20249,"Heilwigstraße / Hinter der St. Johannis","https://www.ticketmaster.de/venue/thalia-im-zelt-seelemannpark--hamburg-tickets/hamthaliai/701",9.99379,53.58326
"6239","Stadion Hoheluft","Hamburg",22529,"Lokstedter Steindamm 87","https://www.ticketmaster.de/venue/stadion-hoheluft-hamburg-tickets/hamvictori/701",9.96847,53.58763
"6240","HAW","Hamburg",20099,"Berliner Tor 21","https://www.ticketmaster.de/venue/haw-hamburg-tickets/hamhaw/701",10.02211,53.55605
"6241","Merlin","Hamburg",20099,NA,"https://www.ticketmaster.de/venue/merlin-hamburg-tickets/hamerlin/701",10.01208,53.55848
"6242","Uni Mensa","Hamburg",20146,"Schlüterstraße 7","https://www.ticketmaster.de/venue/uni-mensa-hamburg-tickets/hamunimens/701",9.98632,53.56588
"6243","Logensaal","Hamburg",20146,"Hartungstraße 9-11","https://www.ticketmaster.de/venue/logensaal-hamburg-tickets/hamlogenha/701",9.9855,53.57005
"6244","Passage (Kino 2)","Hamburg",20095,"Mönckebergstraße 17","https://www.ticketmaster.de/venue/passage-kino-2--hamburg-tickets/hampassakz/701",9.99844,53.55059
"6245","Hauptkirche Sankt Petri","Hamburg",20095,"Bei der Petrikirche 2","https://www.ticketmaster.de/venue/hauptkirche-sankt-petri-hamburg-tickets/hamstpetri/701",9.9981,53.55002
"6246","Arena Berlin (Glashaus & Badesch","Berlin",12435,"Eichenstraße 4","https://www.ticketmaster.de/venue/arena-berlin-glashaus--badesch-berlin-tickets/berarengub/701",13.58009,52.48361
"6247","Rennbahn","Berlin",12107,"Hirzerweg","https://www.ticketmaster.de/venue/rennbahn-berlin-tickets/berrennbah/701",13.38729,52.42928
"6248","Berlin","Berlin",NA,NA,"https://www.ticketmaster.de/venue/berlin-berlin-tickets/berflugtem/701",13.4045,52.4771
"6249","Unionfilm Studios (Studio 5)","Berlin",12099,"Oberlandstraße 26-35","https://www.ticketmaster.de/venue/unionfilm-studios-studio-5--berlin-tickets/berberluni/701",13.41124,52.46435
"6250","Festsaal des Rathauses Köpenick","Berlin",12555,"Alt Köpenick 21","https://www.ticketmaster.de/venue/festsaal-des-rathauses-kopenick-berlin-tickets/berfestkoe/701",13.5748,52.44576
"6251","Alte Feuerwache Treptow","Berlin",12439,"Michael-Brückner-Straße 9","https://www.ticketmaster.de/venue/alte-feuerwache-treptow-berlin-tickets/berfeuerwa/701",13.51387,52.45397
"6252","Freiluftbühne Seeterrasse Bürger","Berlin",12587,"Müggelseedamm 164","https://www.ticketmaster.de/venue/freiluftbuhne-seeterrasse-burger-berlin-tickets/berfreisee/701",13.62384,52.44661
"6253","Festivalgelände","Berlin",12681,"Beilsteiner Straße 125","https://www.ticketmaster.de/venue/festivalgelande-berlin-tickets/berfestiva/701",13.52896,52.52886
"6254","Ballhaus Naunynstraße","Berlin",10997,"Naunynstraße 27","https://www.ticketmaster.de/venue/ballhaus-naunynstrasse-berlin-tickets/berballnau/701",13.42128,52.502
"6255","UFA Fabrik-Wolfgang Neuss Salon","Berlin",12105,"Viktoriastraße 13","https://www.ticketmaster.de/venue/ufa-fabrik-wolfgang-neuss-salon-berlin-tickets/berufafawn/701",13.38222,52.45462
"6256","7er Club","Mannheim",68169,"Industriestraße 7c","https://www.ticketmaster.de/venue/7er-club-mannheim-tickets/manrudesie/701",8.46044,49.50611
"6257","Waldrennbahn","Mannheim",68239,"Turfweg","https://www.ticketmaster.de/venue/waldrennbahn-mannheim-tickets/manwaldren/701",8.55088,49.44835
